age,annual_income,country,device_type,traffic_source,campaign_type,pages_visited,session_duration,email_opens,email_clicks,previous_purchases,days_since_last_visit,discount_offered,ad_spend,converted
41,35574.0,USA,Mobile,Google,Product Launch,3,240.0,1,1,0,7.0,10,6.57,0
58,49623.0,USA,Desktop,TikTok,Product Launch,2,49.0,2,1,1,18.0,10,10.18,0
67,61444.0,Canada,Desktop,TikTok,Newsletter,1,387.0,3,1,1,1.0,15,9.09,1
34,63561.0,UK,Mobile,Google,Product Launch,3,185.0,0,0,0,25.0,10,12.19,0
64,61782.0,USA,Mobile,Instagram,Product Launch,3,18.0,1,1,0,1.0,15,15.06,0
28,80383.0,USA,Mobile,Facebook,Newsletter,5,354.0,5,1,0,10.0,0,6.63,0
30,39804.0,USA,Desktop,TikTok,Newsletter,2,27.0,1,0,3,46.0,10,8.67,0
47,54163.0,USA,Desktop,Google,Product Launch,4,233.0,1,1,1,18.0,20,5.87,0
39,101633.0,USA,Mobile,Google,Retargeting,4,229.0,1,0,2,0.0,0,9.33,1
33,66930.0,USA,Mobile,Google,Retargeting,6,431.0,4,2,1,0.0,15,3.94,0
60,68123.0,USA,Mobile,Google,Newsletter,1,45.0,4,2,2,24.0,5,15.48,0
60,85266.0,Australia,Desktop,Google,Product Launch,2,251.0,1,0,1,45.0,5,18.6,0
56,39777.0,USA,Mobile,Facebook,Discount,4,241.0,2,2,1,0.0,5,46.49,0
58,76820.0,USA,Desktop,Referral,Brand Awareness,5,396.0,0,0,0,7.0,15,8.69,0
69,66607.0,USA,Mobile,TikTok,Product Launch,8,164.0,5,3,0,65.0,5,11.26,0
68,52249.0,Australia,Desktop,TikTok,Brand Awareness,4,171.0,1,0,1,23.0,10,1.43,0
52,74086.0,Canada,Mobile,Facebook,Newsletter,3,60.0,2,0,1,19.0,15,10.01,0
22,102353.0,USA,Mobile,Google,Newsletter,5,325.0,0,0,0,67.0,0,5.23,0
38,76183.0,USA,Desktop,Email,Newsletter,9,445.0,4,1,1,10.0,10,11.91,1
55,66058.0,Australia,Mobile,Email,Brand Awareness,8,376.0,0,0,1,8.0,15,4.86,0
47,105661.0,UK,Desktop,Google,Newsletter,8,572.0,3,1,0,89.0,0,17.19,0
34,82847.0,USA,Desktop,TikTok,Retargeting,7,305.0,2,0,1,0.0,0,20.21,0
55,114762.0,USA,Desktop,TikTok,Newsletter,4,241.0,2,1,0,17.0,0,2.63,0
64,99792.0,USA,Desktop,Email,Newsletter,7,630.0,3,1,0,7.0,20,21.11,1
66,74020.0,USA,Mobile,Facebook,Retargeting,7,238.0,1,0,0,65.0,15,15.37,0
19,56536.0,USA,Mobile,Instagram,Product Launch,3,127.0,1,0,1,15.0,15,13.73,0
31,63669.0,Australia,Mobile,Instagram,Discount,2,22.0,0,0,0,12.0,5,12.06,0
37,95852.0,USA,Desktop,Google,Newsletter,5,178.0,3,0,0,5.0,15,8.13,0
42,41961.0,USA,Desktop,Google,Brand Awareness,3,169.0,1,1,0,7.0,20,12.51,0
39,124992.0,USA,Mobile,Instagram,Product Launch,9,352.0,3,1,1,23.0,15,3.78,1
35,25000.0,USA,Mobile,Instagram,Retargeting,8,412.0,0,0,0,16.0,0,12.24,0
54,80419.0,USA,Mobile,Instagram,Brand Awareness,4,131.0,4,2,0,6.0,5,47.76,1
24,94854.0,USA,Mobile,Instagram,Brand Awareness,6,528.0,0,0,1,20.0,10,5.54,0
26,49757.0,USA,Mobile,Instagram,Newsletter,7,452.0,3,1,0,25.0,20,8.82,0
28,25000.0,Canada,Mobile,Facebook,Discount,5,371.0,1,0,3,0.0,15,7.67,0
57,56464.0,USA,Mobile,Instagram,Discount,3,202.0,3,1,0,7.0,10,7.09,0
35,58612.0,USA,Mobile,TikTok,Newsletter,5,162.0,3,0,0,8.0,5,3.45,0
22,88241.0,UK,Desktop,Google,Discount,10,887.0,1,0,1,24.0,10,9.42,0
30,67257.0,Canada,Mobile,Google,Retargeting,4,10.0,3,2,2,43.0,5,25.65,0
46,73316.0,USA,Mobile,TikTok,Discount,3,155.0,2,0,0,1.0,0,29.84,0
50,64697.0,USA,Desktop,Google,Discount,10,564.0,2,0,2,22.0,10,25.79,0
63,101878.0,UK,Mobile,Google,Discount,6,91.0,1,1,1,18.0,10,16.05,0
68,57499.0,USA,Desktop,Facebook,Newsletter,8,469.0,8,4,3,8.0,15,51.94,1
49,64212.0,USA,Mobile,Instagram,Product Launch,6,334.0,1,0,0,4.0,20,14.61,0
39,74323.0,USA,Mobile,Instagram,Product Launch,7,267.0,3,0,0,2.0,0,10.96,1
52,133056.0,UK,Tablet,Instagram,Retargeting,4,10.0,1,0,1,4.0,15,3.33,0
57,25000.0,UK,Mobile,Facebook,Discount,7,307.0,3,1,1,0.0,5,30.22,1
56,25000.0,UK,Desktop,Instagram,Discount,7,666.0,0,0,0,46.0,0,6.22,0
33,53725.0,Australia,Desktop,TikTok,Retargeting,6,322.0,1,0,4,0.0,15,18.05,0
33,46298.0,USA,Desktop,Instagram,Discount,5,487.0,2,0,0,9.0,0,8.93,0
52,65763.0,UK,Mobile,Google,Product Launch,5,225.0,3,2,0,42.0,25,12.98,0
39,85315.0,USA,Tablet,Email,Product Launch,4,39.0,1,0,1,8.0,0,6.57,1
69,83332.0,Canada,Mobile,Instagram,Discount,6,307.0,1,0,0,77.0,0,12.63,0
48,62697.0,USA,Mobile,Google,Discount,8,457.0,0,0,0,12.0,5,10.74,0
61,52187.0,USA,Mobile,Google,Brand Awareness,3,12.0,0,0,1,19.0,15,13.2,0
37,64045.0,UK,Mobile,Google,Discount,1,10.0,3,2,0,40.0,10,3.34,0
48,51556.0,UK,Desktop,TikTok,Brand Awareness,4,415.0,3,0,1,36.0,0,46.76,1
34,114438.0,USA,Tablet,Google,Newsletter,4,215.0,4,2,2,-0.0,20,4.63,0
68,97375.0,USA,Desktop,TikTok,Discount,3,10.0,3,1,0,24.0,20,13.45,0
69,66571.0,USA,Desktop,Google,Brand Awareness,5,219.0,0,0,2,0.0,0,2.24,1
22,85646.0,Canada,Desktop,Google,Product Launch,4,97.0,1,0,2,33.0,25,5.91,1
18,58507.0,USA,Desktop,Facebook,Product Launch,6,402.0,2,1,0,7.0,0,24.24,1
35,69298.0,UK,Mobile,Google,Discount,2,363.0,2,1,1,13.0,0,12.97,0
32,73600.0,USA,Tablet,Instagram,Newsletter,2,105.0,2,1,0,26.0,15,13.66,0
26,43399.0,UK,Mobile,TikTok,Retargeting,9,439.0,4,1,0,86.0,0,25.21,0
26,71028.0,Canada,Desktop,Facebook,Retargeting,6,289.0,3,1,0,0.0,10,8.33,0
48,55811.0,USA,Mobile,TikTok,Retargeting,5,191.0,5,3,1,19.0,10,6.31,0
39,81659.0,USA,Mobile,Facebook,Newsletter,3,155.0,1,0,1,0.0,0,11.85,0
55,46267.0,USA,Tablet,Facebook,Retargeting,3,56.0,0,0,0,4.0,10,20.23,0
63,56483.0,UK,Mobile,Google,Discount,1,53.0,0,0,2,31.0,10,12.86,0
63,83000.0,USA,Mobile,Google,Retargeting,9,225.0,3,2,1,76.0,0,16.4,0
50,105307.0,USA,Tablet,Facebook,Newsletter,2,128.0,6,2,0,49.0,15,6.32,0
24,83238.0,UK,Desktop,Instagram,Newsletter,9,811.0,4,1,1,0.0,20,27.32,1
66,78530.0,UK,Desktop,TikTok,Newsletter,6,501.0,2,0,1,16.0,0,18.44,0
21,37776.0,Australia,Mobile,Facebook,Brand Awareness,2,10.0,1,0,0,0.0,20,1.41,0
22,57623.0,USA,Mobile,Google,Brand Awareness,3,179.0,0,0,0,34.0,0,23.79,0
23,74441.0,USA,Desktop,Facebook,Retargeting,3,120.0,3,1,0,33.0,25,12.09,0
69,69454.0,Canada,Tablet,Facebook,Discount,4,202.0,1,0,0,9.0,0,14.94,0
51,72938.0,UK,Tablet,TikTok,Newsletter,1,93.0,2,0,1,69.0,20,7.04,0
61,97150.0,Canada,Tablet,Google,Retargeting,10,714.0,4,2,1,0.0,20,9.09,1
36,102401.0,UK,Desktop,Google,Newsletter,5,383.0,2,2,2,15.0,20,35.25,1
64,59174.0,USA,Mobile,Referral,Brand Awareness,8,338.0,2,0,0,28.0,0,21.11,0
48,52315.0,Australia,Mobile,Instagram,Newsletter,6,561.0,6,2,0,22.0,0,11.19,1
41,34009.0,USA,Mobile,TikTok,Retargeting,12,461.0,2,1,0,9.0,5,28.72,1
62,73359.0,USA,Desktop,Instagram,Product Launch,8,414.0,2,1,2,3.0,10,5.56,1
23,85681.0,USA,Desktop,Instagram,Discount,4,391.0,2,1,0,4.0,0,9.03,0
57,100713.0,USA,Mobile,TikTok,Newsletter,7,311.0,1,0,0,5.0,10,15.07,0
55,55038.0,Canada,Mobile,Google,Brand Awareness,7,336.0,3,0,2,35.0,15,5.17,1
30,60942.0,USA,Desktop,Google,Retargeting,8,734.0,1,0,2,0.0,5,12.94,1
23,52325.0,USA,Desktop,TikTok,Newsletter,6,283.0,3,0,2,11.0,15,24.78,0
31,122817.0,USA,Desktop,Google,Discount,5,25.0,1,1,1,18.0,5,10.92,0
69,110281.0,USA,Mobile,Google,Newsletter,8,512.0,4,1,1,42.0,0,22.76,0
30,61810.0,USA,Mobile,Email,Retargeting,7,361.0,4,2,0,0.0,0,31.0,1
25,77811.0,USA,Desktop,Facebook,Newsletter,3,234.0,3,1,0,18.0,0,7.5,0
68,54458.0,Australia,Desktop,Google,Brand Awareness,1,142.0,2,0,0,23.0,20,11.82,1
42,63035.0,USA,Mobile,Email,Product Launch,3,166.0,2,2,1,38.0,20,2.63,0
19,122559.0,USA,Mobile,Facebook,Retargeting,7,223.0,2,1,2,0.0,5,12.69,0
41,65844.0,USA,Mobile,Email,Discount,5,460.0,6,2,1,59.0,0,5.55,1
57,67360.0,USA,Mobile,Facebook,Newsletter,1,138.0,2,1,0,17.0,0,6.84,0
25,72068.0,Canada,Tablet,Facebook,Retargeting,3,97.0,4,1,1,0.0,0,9.71,0
46,40763.0,USA,Tablet,Google,Retargeting,10,785.0,1,0,0,6.0,5,46.25,0
25,34949.0,UK,Mobile,Instagram,Newsletter,1,13.0,2,0,1,6.0,10,6.58,0
38,25000.0,USA,Desktop,Instagram,Brand Awareness,5,257.0,3,1,1,41.0,25,16.8,0
40,95445.0,USA,Desktop,TikTok,Newsletter,4,283.0,1,0,1,53.0,5,9.24,0
30,53921.0,Canada,Desktop,Instagram,Retargeting,4,334.0,1,0,0,49.0,15,15.75,0
35,57782.0,USA,Tablet,Instagram,Newsletter,4,90.0,2,0,0,2.0,0,16.46,0
44,92860.0,Canada,Desktop,Instagram,Retargeting,6,223.0,2,0,2,18.0,0,14.1,1
46,46215.0,USA,Desktop,Instagram,Retargeting,8,397.0,3,2,0,23.0,10,16.99,1
27,61125.0,USA,Desktop,Google,Newsletter,6,171.0,1,0,1,6.0,15,24.31,0
47,53252.0,USA,Tablet,TikTok,Brand Awareness,4,98.0,2,0,1,1.0,20,13.21,1
65,80668.0,USA,Mobile,Instagram,Newsletter,10,560.0,9,5,0,0.0,10,4.93,1
56,65666.0,Canada,Mobile,Instagram,Retargeting,4,370.0,1,0,1,0.0,25,25.52,1
64,31778.0,USA,Desktop,TikTok,Brand Awareness,3,261.0,0,0,1,0.0,10,21.08,0
50,94820.0,USA,Desktop,Instagram,Discount,6,458.0,6,1,2,2.0,25,22.11,1
61,101531.0,UK,Desktop,Google,Newsletter,3,257.0,3,1,1,11.0,25,5.1,0
42,79085.0,Australia,Desktop,Facebook,Newsletter,2,10.0,8,5,1,17.0,0,10.87,0
67,64901.0,Canada,Desktop,Instagram,Brand Awareness,1,85.0,2,1,1,27.0,0,12.67,0
47,68905.0,Canada,Mobile,TikTok,Discount,2,21.0,0,0,0,19.0,5,12.1,0
54,44344.0,USA,Mobile,Instagram,Newsletter,2,318.0,2,0,1,14.0,10,18.57,0
53,63286.0,Canada,Mobile,Google,Brand Awareness,3,10.0,2,1,3,29.0,10,5.81,0
41,95634.0,USA,Desktop,Google,Retargeting,3,196.0,3,2,1,0.0,20,2.43,1
31,77850.0,Canada,Desktop,Google,Newsletter,7,376.0,1,0,0,72.0,25,16.38,0
41,39655.0,Canada,Mobile,Instagram,Product Launch,5,10.0,2,0,0,1.0,25,4.08,0
56,39342.0,USA,Mobile,Facebook,Newsletter,1,55.0,3,0,1,16.0,20,5.64,0
38,64411.0,USA,Tablet,Google,Brand Awareness,11,817.0,0,0,3,0.0,0,25.29,1
53,100100.0,UK,Mobile,Referral,Newsletter,12,601.0,3,0,1,21.0,0,25.18,1
57,81170.0,USA,Mobile,Google,Retargeting,6,205.0,3,1,0,42.0,15,3.78,0
51,70707.0,USA,Mobile,Google,Newsletter,6,153.0,2,0,0,16.0,20,30.65,1
54,91082.0,USA,Desktop,Google,Brand Awareness,2,224.0,3,0,1,13.0,5,7.44,0
31,54088.0,USA,Mobile,Instagram,Discount,6,268.0,0,0,3,1.0,0,54.36,1
25,79571.0,Australia,Desktop,Google,Brand Awareness,6,493.0,1,0,1,54.0,20,8.89,1
33,63710.0,USA,Mobile,Instagram,Discount,3,205.0,0,0,0,38.0,20,15.43,0
38,44890.0,USA,Desktop,Instagram,Product Launch,4,282.0,2,0,0,25.0,0,9.47,0
52,83851.0,USA,Desktop,TikTok,Retargeting,9,581.0,3,1,0,1.0,15,4.66,1
30,41453.0,USA,Mobile,Google,Product Launch,4,10.0,0,0,2,28.0,15,10.17,0
20,70102.0,USA,Desktop,Google,Newsletter,4,248.0,4,0,2,5.0,0,14.73,1
48,94853.0,Canada,Mobile,Instagram,Brand Awareness,6,263.0,1,0,2,21.0,0,15.17,0
35,42004.0,UK,Mobile,Instagram,Discount,5,493.0,2,1,1,1.0,0,8.11,0
66,100637.0,Canada,Desktop,Facebook,Newsletter,3,152.0,2,0,0,31.0,5,12.88,0
37,103417.0,UK,Desktop,Instagram,Product Launch,7,458.0,3,1,0,7.0,20,19.92,1
56,89934.0,USA,Mobile,Facebook,Discount,4,10.0,1,0,2,0.0,0,13.67,0
24,65962.0,USA,Mobile,Google,Retargeting,4,411.0,2,0,1,13.0,5,12.86,1
37,65849.0,USA,Mobile,Google,Brand Awareness,5,123.0,0,0,1,77.0,15,9.96,1
50,66085.0,Canada,Desktop,Google,Discount,4,337.0,0,0,1,30.0,15,6.87,0
60,72313.0,USA,Desktop,TikTok,Discount,1,79.0,0,0,1,21.0,0,11.58,0
69,50596.0,Canada,Mobile,Instagram,Newsletter,3,45.0,5,3,0,0.0,20,22.75,1
18,78967.0,Canada,Mobile,TikTok,Retargeting,8,319.0,0,0,1,0.0,10,19.58,0
66,105633.0,Canada,Mobile,TikTok,Discount,3,65.0,2,2,1,7.0,15,11.28,1
35,40092.0,Canada,Desktop,Google,Brand Awareness,4,330.0,4,1,0,19.0,10,12.02,0
21,109656.0,Canada,Desktop,Google,Brand Awareness,4,307.0,3,1,0,0.0,10,5.42,0
43,46889.0,USA,Desktop,Google,Retargeting,8,556.0,4,3,1,42.0,10,13.28,1
45,52004.0,Canada,Mobile,Instagram,Discount,4,209.0,0,0,1,65.0,10,4.9,0
54,61613.0,USA,Tablet,Google,Discount,3,182.0,3,1,0,86.0,10,12.97,0
35,70395.0,USA,Mobile,Instagram,Discount,4,187.0,1,1,0,1.0,0,12.77,0
43,76012.0,Australia,Mobile,Google,Product Launch,4,78.0,1,0,0,57.0,10,20.32,0
69,109662.0,USA,Desktop,Google,Product Launch,5,477.0,0,0,2,39.0,0,9.66,0
34,84666.0,Australia,Desktop,Instagram,Brand Awareness,5,211.0,0,0,1,16.0,25,19.72,0
51,100224.0,USA,Desktop,Instagram,Discount,2,214.0,1,1,2,2.0,15,7.99,1
55,61201.0,USA,Mobile,TikTok,Discount,3,105.0,2,1,2,15.0,0,5.95,1
59,83247.0,USA,Mobile,Email,Newsletter,8,566.0,6,3,1,4.0,15,31.75,1
67,31506.0,USA,Mobile,Google,Retargeting,9,559.0,6,4,2,0.0,20,8.66,1
19,45171.0,USA,Mobile,Instagram,Retargeting,4,151.0,2,0,1,0.0,20,8.08,0
36,126704.0,USA,Mobile,Facebook,Newsletter,7,150.0,5,2,0,21.0,5,1.41,0
47,69451.0,USA,Tablet,Instagram,Product Launch,5,107.0,1,0,0,6.0,5,7.18,0
40,86351.0,Canada,Desktop,TikTok,Retargeting,10,691.0,3,1,0,0.0,15,41.79,1
30,91500.0,USA,Desktop,Email,Product Launch,6,688.0,3,1,2,0.0,0,15.43,0
51,87648.0,USA,Mobile,Facebook,Newsletter,6,277.0,5,3,0,43.0,10,38.78,1
38,39804.0,UK,Desktop,Instagram,Product Launch,8,439.0,2,0,0,50.0,0,5.64,0
31,75563.0,USA,Mobile,Google,Product Launch,1,10.0,1,1,1,18.0,25,10.06,0
43,123750.0,Canada,Desktop,TikTok,Retargeting,3,143.0,2,2,2,4.0,10,11.77,0
25,95543.0,USA,Mobile,Google,Newsletter,3,73.0,1,0,1,4.0,10,18.3,0
52,62045.0,USA,Mobile,Google,Product Launch,8,484.0,1,0,0,6.0,20,27.09,0
49,72144.0,Canada,Desktop,Instagram,Newsletter,1,423.0,6,0,1,0.0,25,9.5,1
38,60156.0,USA,Mobile,Instagram,Newsletter,1,10.0,1,0,0,4.0,10,6.35,0
36,75628.0,USA,Mobile,TikTok,Retargeting,4,10.0,3,0,1,0.0,0,7.68,0
61,73790.0,USA,Desktop,TikTok,Retargeting,10,399.0,1,1,0,0.0,0,29.39,1
68,71328.0,Australia,Mobile,Instagram,Brand Awareness,8,375.0,2,0,1,27.0,0,2.58,0
36,54204.0,USA,Mobile,Google,Retargeting,7,322.0,6,2,0,14.0,20,22.7,1
59,30734.0,Australia,Mobile,Instagram,Brand Awareness,8,493.0,4,0,0,12.0,10,27.23,1
30,82100.0,USA,Desktop,Facebook,Discount,5,658.0,0,0,0,11.0,25,21.57,1
26,76240.0,USA,Mobile,TikTok,Brand Awareness,10,259.0,2,1,1,22.0,25,18.16,0
43,83613.0,USA,Mobile,Google,Product Launch,10,341.0,1,0,1,0.0,0,8.71,1
46,97582.0,USA,Mobile,Instagram,Retargeting,8,295.0,1,0,0,1.0,5,45.07,0
63,66442.0,USA,Mobile,Facebook,Brand Awareness,2,10.0,1,0,0,19.0,10,5.44,0
43,99280.0,Canada,Desktop,Facebook,Newsletter,9,266.0,2,2,0,0.0,10,40.81,0
68,68352.0,USA,Mobile,Google,Discount,2,50.0,5,5,2,15.0,15,7.72,0
64,94845.0,Australia,Desktop,Email,Discount,4,289.0,3,0,1,21.0,5,5.5,1
24,87637.0,UK,Mobile,TikTok,Retargeting,5,250.0,3,0,0,14.0,15,16.53,1
36,54347.0,UK,Mobile,Email,Retargeting,6,331.0,4,0,0,12.0,20,10.46,1
26,95271.0,USA,Tablet,TikTok,Retargeting,8,333.0,0,0,2,0.0,10,3.35,1
56,83988.0,USA,Tablet,Instagram,Product Launch,5,461.0,2,0,0,16.0,10,4.29,0
21,75497.0,USA,Desktop,Facebook,Newsletter,7,123.0,1,0,0,5.0,5,7.12,0
25,70591.0,USA,Mobile,Google,Newsletter,9,379.0,4,1,0,34.0,15,28.63,0
25,74088.0,USA,Desktop,Email,Brand Awareness,6,256.0,2,0,1,53.0,20,16.33,0
66,55793.0,USA,Mobile,Google,Product Launch,8,470.0,3,1,1,20.0,20,17.64,1
64,44479.0,USA,Desktop,Google,Newsletter,4,244.0,3,1,1,16.0,15,6.36,1
47,71788.0,Australia,Mobile,Email,Discount,7,264.0,1,0,1,52.0,25,4.39,0
55,91696.0,UK,Mobile,Google,Discount,2,10.0,2,0,1,6.0,10,13.99,0
31,69416.0,USA,Desktop,Google,Brand Awareness,1,355.0,1,0,2,6.0,25,6.57,0
58,89818.0,Canada,Mobile,Instagram,Retargeting,5,337.0,4,1,0,7.0,15,5.07,0
57,37922.0,USA,Mobile,Google,Newsletter,12,532.0,2,0,1,10.0,10,24.28,1
57,110741.0,UK,Mobile,Facebook,Product Launch,3,10.0,2,0,1,2.0,10,2.09,1
43,78556.0,USA,Mobile,Email,Retargeting,7,377.0,7,3,0,34.0,10,20.67,1
34,66648.0,USA,Desktop,Email,Newsletter,1,309.0,4,2,0,42.0,5,1.35,0
53,73972.0,USA,Mobile,Referral,Newsletter,2,29.0,6,1,0,14.0,5,0.83,0
38,80886.0,USA,Desktop,TikTok,Newsletter,3,354.0,1,0,0,15.0,10,6.96,0
47,74487.0,Canada,Desktop,Facebook,Discount,2,138.0,1,0,1,0.0,25,13.14,1
36,81319.0,USA,Desktop,TikTok,Discount,2,235.0,2,0,0,56.0,15,13.96,0
46,43541.0,Canada,Desktop,TikTok,Discount,6,441.0,1,1,1,61.0,0,3.74,1
45,86275.0,USA,Tablet,Google,Retargeting,11,861.0,3,0,0,16.0,5,30.71,1
57,68797.0,Australia,Mobile,TikTok,Retargeting,5,403.0,3,2,0,26.0,0,19.28,0
22,47391.0,USA,Mobile,Instagram,Brand Awareness,9,736.0,2,0,0,8.0,20,11.38,1
19,91697.0,USA,Tablet,Email,Discount,2,10.0,3,0,0,49.0,0,13.31,0
45,73009.0,UK,Desktop,Google,Brand Awareness,5,103.0,1,0,1,9.0,15,3.34,1
58,108638.0,USA,Mobile,Email,Discount,6,481.0,3,1,0,57.0,15,31.48,0
40,59181.0,UK,Mobile,Google,Product Launch,6,294.0,1,0,0,51.0,0,15.72,0
48,103743.0,Canada,Mobile,Instagram,Discount,3,10.0,1,0,1,27.0,25,0.82,0
47,86070.0,UK,Mobile,Facebook,Product Launch,1,39.0,3,1,0,50.0,10,3.7,0
37,55542.0,USA,Tablet,Email,Brand Awareness,3,267.0,6,4,1,0.0,0,6.16,0
65,93812.0,Australia,Mobile,Email,Newsletter,6,130.0,6,2,0,16.0,15,9.47,0
35,85733.0,Canada,Mobile,Email,Retargeting,6,226.0,6,5,0,4.0,0,15.2,1
66,95284.0,USA,Mobile,Google,Product Launch,6,608.0,2,0,0,51.0,15,4.42,0
36,60268.0,USA,Desktop,TikTok,Product Launch,3,496.0,2,1,1,5.0,10,10.52,1
39,25000.0,USA,Tablet,Instagram,Discount,4,373.0,0,0,0,4.0,0,11.65,1
42,63060.0,USA,Mobile,Google,Newsletter,8,417.0,2,1,0,23.0,15,13.23,1
22,75748.0,UK,Mobile,Google,Product Launch,5,305.0,2,1,0,0.0,10,6.51,0
26,93987.0,Australia,Desktop,Referral,Product Launch,7,464.0,2,1,0,26.0,20,16.2,0
68,100145.0,USA,Mobile,Email,Discount,2,25.0,2,1,0,2.0,10,12.1,1
47,102091.0,USA,Mobile,Referral,Retargeting,9,518.0,3,0,2,31.0,5,4.55,1
26,86845.0,USA,Mobile,Email,Newsletter,5,335.0,5,3,0,0.0,0,3.62,1
64,77110.0,USA,Mobile,Instagram,Discount,2,16.0,0,0,1,71.0,5,17.45,0
65,63425.0,USA,Desktop,Facebook,Retargeting,3,182.0,3,1,0,6.0,10,10.56,0
49,84851.0,USA,Mobile,Referral,Retargeting,12,475.0,6,3,0,79.0,10,34.65,1
24,63209.0,USA,Desktop,Facebook,Retargeting,11,522.0,2,2,0,40.0,0,18.63,1
62,79267.0,USA,Mobile,Instagram,Discount,2,170.0,4,2,1,7.0,0,7.66,0
41,65335.0,USA,Desktop,Google,Retargeting,6,265.0,2,1,1,0.0,20,8.01,1
62,89865.0,USA,Tablet,Referral,Newsletter,4,27.0,1,0,1,0.0,0,10.91,0
33,64995.0,Canada,Desktop,Instagram,Product Launch,3,101.0,2,1,0,0.0,15,13.48,0
45,58908.0,USA,Tablet,Google,Retargeting,3,185.0,1,0,1,19.0,0,6.26,0
31,61128.0,USA,Mobile,Instagram,Brand Awareness,1,10.0,1,0,0,18.0,5,4.83,0
56,86409.0,Australia,Desktop,TikTok,Retargeting,6,579.0,1,0,0,1.0,0,12.59,0
44,61571.0,Australia,Desktop,Instagram,Discount,7,843.0,1,0,1,6.0,20,28.21,0
27,101696.0,USA,Mobile,TikTok,Newsletter,2,241.0,2,0,0,28.0,20,22.39,0
45,50376.0,USA,Mobile,Instagram,Newsletter,10,289.0,3,1,0,0.0,0,12.58,0
35,79745.0,USA,Desktop,Referral,Discount,3,154.0,0,0,0,55.0,15,11.92,1
58,65680.0,USA,Mobile,Email,Brand Awareness,8,486.0,3,2,2,0.0,10,21.85,1
53,46121.0,Australia,Tablet,Google,Product Launch,2,11.0,0,0,1,33.0,10,19.52,0
45,71354.0,Australia,Desktop,Google,Discount,2,227.0,3,3,1,3.0,5,13.25,1
49,82928.0,USA,Desktop,TikTok,Product Launch,2,274.0,4,1,2,0.0,20,2.13,1
68,87249.0,UK,Desktop,Email,Brand Awareness,6,353.0,1,0,0,8.0,0,6.63,1
48,66431.0,Canada,Mobile,Google,Product Launch,3,10.0,0,0,2,84.0,0,28.95,0
52,48381.0,USA,Mobile,Referral,Discount,3,139.0,3,1,1,30.0,0,3.63,0
38,56427.0,USA,Desktop,Email,Retargeting,9,783.0,5,1,1,0.0,15,15.51,1
46,60218.0,USA,Tablet,Google,Brand Awareness,2,432.0,1,0,1,67.0,15,12.83,0
19,114618.0,USA,Mobile,Facebook,Product Launch,1,10.0,1,0,1,0.0,10,14.1,0
61,44718.0,USA,Mobile,TikTok,Retargeting,3,10.0,2,1,0,35.0,5,3.95,0
58,70035.0,USA,Tablet,Instagram,Retargeting,7,505.0,1,0,0,24.0,10,4.57,0
67,123062.0,USA,Mobile,Facebook,Retargeting,4,242.0,2,0,3,22.0,0,10.14,1
56,47377.0,USA,Mobile,Google,Brand Awareness,4,45.0,1,0,1,19.0,5,6.62,0
28,109890.0,USA,Mobile,Google,Brand Awareness,5,354.0,1,0,2,49.0,15,9.02,1
49,105234.0,USA,Mobile,Instagram,Discount,2,211.0,4,0,0,1.0,15,9.44,0
66,91818.0,USA,Mobile,Google,Discount,7,256.0,1,0,0,31.0,20,16.98,0
22,84550.0,Canada,Mobile,TikTok,Product Launch,1,43.0,2,0,0,15.0,15,5.58,0
64,33452.0,USA,Desktop,TikTok,Discount,5,267.0,3,0,0,12.0,5,3.01,1
30,70247.0,USA,Mobile,Email,Newsletter,6,232.0,4,1,0,0.0,20,14.84,1
48,67398.0,USA,Desktop,Google,Retargeting,8,604.0,5,3,0,0.0,15,18.64,1
67,100590.0,UK,Mobile,Facebook,Newsletter,6,304.0,5,1,0,26.0,0,5.91,0
45,99088.0,USA,Tablet,Instagram,Product Launch,5,13.0,0,0,0,8.0,10,4.81,1
36,45652.0,USA,Mobile,Email,Newsletter,6,161.0,2,0,1,0.0,10,4.88,1
42,25000.0,USA,Desktop,Facebook,Newsletter,9,813.0,4,2,1,98.0,0,23.13,1
45,54481.0,USA,Mobile,Instagram,Retargeting,5,206.0,4,1,1,0.0,10,1.6,0
55,116659.0,Canada,Mobile,Google,Retargeting,6,289.0,3,2,0,19.0,0,19.42,1
37,75046.0,USA,Mobile,TikTok,Discount,1,177.0,1,0,0,73.0,10,15.19,0
48,73197.0,USA,Mobile,Email,Brand Awareness,7,448.0,4,2,0,19.0,25,23.25,1
50,88691.0,UK,Mobile,Google,Product Launch,7,260.0,3,1,1,50.0,10,36.15,0
47,66513.0,USA,Mobile,Instagram,Retargeting,12,385.0,3,2,0,0.0,0,18.91,0
44,80233.0,Canada,Tablet,Facebook,Discount,2,164.0,2,0,0,9.0,0,8.28,0
64,53763.0,UK,Mobile,TikTok,Product Launch,7,332.0,2,1,1,17.0,0,3.28,1
21,54930.0,Australia,Mobile,TikTok,Discount,5,163.0,0,0,2,5.0,25,12.45,1
64,84717.0,Canada,Desktop,Instagram,Brand Awareness,7,187.0,1,1,0,4.0,20,15.22,1
50,77508.0,Australia,Desktop,Google,Newsletter,6,335.0,4,2,2,65.0,10,23.64,0
69,89084.0,USA,Desktop,Instagram,Retargeting,9,627.0,1,0,1,4.0,0,13.19,1
